,agA_name,agB_name,agA_ns,agA_id,agB_ns,agB_id,residue,position,stmt_type,evidence_count,stmt_hash,belief,source_counts,initial_sign
134,HNRNPM,ENO1,HGNC,5046,HGNC,3350,,,Complex,1,-3401654216744563,0.98,{'biogrid': 1},
133,ENO1,HNRNPM,HGNC,3350,HGNC,5046,,,Complex,1,-3401654216744563,0.98,{'biogrid': 1},
171,HNRNPC,SRSF1,HGNC,5035,HGNC,10780,,,Complex,1,23114862774231714,0.65,{'sparser': 1},
172,HNRNPM,HNRNPC,HGNC,5046,HGNC,5035,,,Complex,1,23114862774231714,0.65,{'sparser': 1},
173,HNRNPM,SRSF1,HGNC,5046,HGNC,10780,,,Complex,1,23114862774231714,0.65,{'sparser': 1},
174,SRSF1,HNRNPC,HGNC,10780,HGNC,5035,,,Complex,1,23114862774231714,0.65,{'sparser': 1},
175,SRSF1,HNRNPM,HGNC,10780,HGNC,5046,,,Complex,1,23114862774231714,0.65,{'sparser': 1},
132,NPM1,ENO1,HGNC,7910,HGNC,3350,,,IncreaseAmount,1,-4600399247698047,0.65,{'reach': 1},
130,NPM1,ENO1,HGNC,7910,HGNC,3350,,,Complex,1,-19697742226124610,0.98,{'biogrid': 1},
101,FBL,NPM1,HGNC,3599,HGNC,7910,,,Complex,1,-16081387432948190,0.65,{'sparser': 1},
0,NPM1,RPL13,HGNC,7910,HGNC,10303,,,Complex,1,3043183137438987,0.98,{'biogrid': 1},
99,NCL,NPM1,HGNC,7667,HGNC,7910,,,Complex,1,-16081387432948190,0.65,{'sparser': 1},
35,GAPDH,ELAVL1,HGNC,4141,HGNC,3312,,,Complex,1,-29340427652099652,0.65,{'sparser': 1},
23,HYOU1,HSP90AA1,HGNC,16931,HGNC,5253,,,Complex,1,3721535539957658,0.65,{'sparser': 1},
28,NCL,GAPDH,HGNC,7667,HGNC,4141,,,Complex,1,16733938025709904,0.65,{'reach': 1},
29,GAPDH,NCL,HGNC,4141,HGNC,7667,,,Complex,1,16733938025709904,0.65,{'reach': 1},
30,NCL,ELAVL1,HGNC,7667,HGNC,3312,,,Complex,1,-29340427652099652,0.65,{'sparser': 1},
31,NCL,GAPDH,HGNC,7667,HGNC,4141,,,Complex,1,-29340427652099652,0.65,{'sparser': 1},
32,ELAVL1,NCL,HGNC,3312,HGNC,7667,,,Complex,1,-29340427652099652,0.65,{'sparser': 1},
33,ELAVL1,GAPDH,HGNC,3312,HGNC,4141,,,Complex,1,-29340427652099652,0.65,{'sparser': 1},
34,GAPDH,NCL,HGNC,4141,HGNC,7667,,,Complex,1,-29340427652099652,0.65,{'sparser': 1},
38,ENO1,GAPDH,HGNC,3350,HGNC,4141,,,Activation,1,18504241790425129,0.65,{'reach': 1},
50,polB,NPM1,UP,O28484,HGNC,7910,,,Complex,1,-8654511615421172,0.65,{'sparser': 1},
39,ENO1,GAPDH,HGNC,3350,HGNC,4141,,,Complex,1,-29970311435192873,0.65,{'sparser': 1},
40,ENO1,PPA1,HGNC,3350,HGNC,9226,,,Complex,1,-29970311435192873,0.65,{'sparser': 1},
41,GAPDH,ENO1,HGNC,4141,HGNC,3350,,,Complex,1,-29970311435192873,0.65,{'sparser': 1},
42,GAPDH,PPA1,HGNC,4141,HGNC,9226,,,Complex,1,-29970311435192873,0.65,{'sparser': 1},
43,PPA1,ENO1,HGNC,9226,HGNC,3350,,,Complex,1,-29970311435192873,0.65,{'sparser': 1},
