source_hgnc_id	source_hgnc_symbol	relation	target_hgnc_id	target_hgnc_symbol	stmt_hash	evidence_count	source_counts
C545476		DecreaseAmount	18538	NUSAP1	-618912318575995	1	"{""ctd"": 1}"
C545476		DecreaseAmount	17273	KIF15	7726705224855531	1	"{""ctd"": 1}"
C545476		DecreaseAmount	17255	KNTC1	-14169496526234825	1	"{""ctd"": 1}"
C545476		DecreaseAmount	1722	CDK1	-24651605680678640	1	"{""ctd"": 1}"
C545476		DecreaseAmount	16909	NDC80	26835616718132794	1	"{""ctd"": 1}"
C545476		DecreaseAmount	16864	DLGAP5	10963654935284508	1	"{""ctd"": 1}"
C545476		DecreaseAmount	1580	CCNB2	-13353372286632764	1	"{""ctd"": 1}"
C545476		DecreaseAmount	14592	NET1	-13021594287876930	1	"{""ctd"": 1}"
C545476		DecreaseAmount	14082	ANLN	6736797760384042	1	"{""ctd"": 1}"
C545476		DecreaseAmount	14013	SMC4	29393959390615553	1	"{""ctd"": 1}"
C545476		DecreaseAmount	13584	FBXO5	7789156071539418	1	"{""ctd"": 1}"
C545476		DecreaseAmount	12691	EZR	33676860698962676	1	"{""ctd"": 1}"
C545476		DecreaseAmount	12665	VCL	16104536239264516	1	"{""ctd"": 1}"
C545476		DecreaseAmount	1249	TPX2	-33366180850692479	1	"{""ctd"": 1}"
C545476		DecreaseAmount	12401	TTK	31313263024593222	1	"{""ctd"": 1}"
C545476		DecreaseAmount	11989	TOP2A	-32717193211756438	1	"{""ctd"": 1}"
C545476		DecreaseAmount	1148	BUB1	4877886093121258	1	"{""ctd"": 1}"
C545476		DecreaseAmount	11393	AURKA	24982598725912812	1	"{""ctd"": 1}"
C545476		DecreaseAmount	1101	BRCA2	-18450833205647991	1	"{""ctd"": 1}"
C545476		DecreaseAmount	1052	BIN1	2872618145640463	1	"{""ctd"": 1}"
6551	LEF1	DecreaseAmount	994	BCL2L11	11941930898237642	1	"{""biopax"": 1}"
6551	LEF1	DecreaseAmount	9874	RASAL2	-18584703109938616	2	"{""biopax"": 2}"
6551	LEF1	DecreaseAmount	8727	PCM1	24660373202552919	1	"{""biopax"": 1}"
6551	LEF1	DecreaseAmount	8148	OPHN1	-6225659005230799	1	"{""biopax"": 1}"
6551	LEF1	DecreaseAmount	81	ABR	6276403607591486	2	"{""biopax"": 2}"
